"subject" "activity" "feature" "statistics" "dimension" "mean_value"
"58" 28 "WALKING_UPSTAIRS" "fBodyAccMag" "mean" "" -0.213519364760784
"59" 29 "WALKING_UPSTAIRS" "fBodyAccMag" "mean" "" -0.108306402963265
"60" 30 "WALKING_UPSTAIRS" "fBodyAccMag" "mean" "" -0.400588353846154
"61" 1 "WALKING_DOWNSTAIRS" "fBodyAccMag" "mean" "" 0.0965845343040816
"62" 2 "WALKING_DOWNSTAIRS" "fBodyAccMag" "mean" "" 0.293424826591489
"63" 3 "WALKING_DOWNSTAIRS" "fBodyAccMag" "mean" "" 0.0289413195612245
"64" 4 "WALKING_DOWNSTAIRS" "fBodyAccMag" "mean" "" -0.01907433524
"65" 5 "WALKING_DOWNSTAIRS" "fBodyAccMag" "mean" "" 0.155742168808511
"66" 6 "WALKING_DOWNSTAIRS" "fBodyAccMag" "mean" "" 0.395958034583333
"67" 7 "WALKING_DOWNSTAIRS" "fBodyAccMag" "mean" "" 0.218911066191489
"68" 8 "WALKING_DOWNSTAIRS" "fBodyAccMag" "mean" "" 0.301626757315789
"69" 9 "WALKING_DOWNSTAIRS" "fBodyAccMag" "mean" "" 0.222203941
"70" 10 "WALKING_DOWNSTAIRS" "fBodyAccMag" "mean" "" 0.220115703368421
"71" 11 "WALKING_DOWNSTAIRS" "fBodyAccMag" "mean" "" 0.0902807576630435
"72" 12 "WALKING_DOWNSTAIRS" "fBodyAccMag" "mean" "" 0.148017269434783
"73" 13 "WALKING_DOWNSTAIRS" "fBodyAccMag" "mean" "" 0.0528791880659574
"74" 14 "WALKING_DOWNSTAIRS" "fBodyAccMag" "mean" "" 0.471905155133333
"75" 15 "WALKING_DOWNSTAIRS" "fBodyAccMag" "mean" "" 0.331150229285714
"76" 16 "WALKING_DOWNSTAIRS" "fBodyAccMag" "mean" "" 0.114032088546809
"77" 17 "WALKING_DOWNSTAIRS" "fBodyAccMag" "mean" "" 0.0580680522108696
"78" 18 "WALKING_DOWNSTAIRS" "fBodyAccMag" "mean" "" -0.241973534781818
"79" 19 "WALKING_DOWNSTAIRS" "fBodyAccMag" "mean" "" 0.586637550769231
"80" 20 "WALKING_DOWNSTAIRS" "fBodyAccMag" "mean" "" 0.151887747217778
"81" 21 "WALKING_DOWNSTAIRS" "fBodyAccMag" "mean" "" 0.239895893822222
"82" 22 "WALKING_DOWNSTAIRS" "fBodyAccMag" "mean" "" 0.155526858911111
"83" 23 "WALKING_DOWNSTAIRS" "fBodyAccMag" "mean" "" 0.364829993351852
"84" 24 "WALKING_DOWNSTAIRS" "fBodyAccMag" "mean" "" -0.0231701626603636
"85" 25 "WALKING_DOWNSTAIRS" "fBodyAccMag" "mean" "" -0.288154787517241
"86" 26 "WALKING_DOWNSTAIRS" "fBodyAccMag" "mean" "" 0.075101684668
"87" 27 "WALKING_DOWNSTAIRS" "fBodyAccMag" "mean" "" 0.149816459227273
"88" 28 "WALKING_DOWNSTAIRS" "fBodyAccMag" "mean" "" 0.188840007695652
"89" 29 "WALKING_DOWNSTAIRS" "fBodyAccMag" "mean" "" 0.115973968158333
"90" 30 "WALKING_DOWNSTAIRS" "fBodyAccMag" "mean" "" 0.00410151034354839
"91" 1 "SITTING" "fBodyAccMag" "mean" "" -0.947782922553192
"92" 2 "SITTING" "fBodyAccMag" "mean" "" -0.96127374826087
"93" 3 "SITTING" "fBodyAccMag" "mean" "" -0.904185725576923
"94" 4 "SITTING" "fBodyAccMag" "mean" "" -0.929002095
"95" 5 "SITTING" "fBodyAccMag" "mean" "" -0.936290604545455
"96" 6 "SITTING" "fBodyAccMag" "mean" "" -0.935750391272727
"97" 7 "SITTING" "fBodyAccMag" "mean" "" -0.90895677625
"98" 8 "SITTING" "fBodyAccMag" "mean" "" -0.947981783478261
"99" 9 "SITTING" "fBodyAccMag" "mean" "" -0.8977181972
"100" 10 "SITTING" "fBodyAccMag" "mean" "" -0.955281010740741
"101" 11 "SITTING" "fBodyAccMag" "mean" "" -0.953066009056604
"102" 12 "SITTING" "fBodyAccMag" "mean" "" -0.955944253137255
"103" 13 "SITTING" "fBodyAccMag" "mean" "" -0.956901559653061
"104" 14 "SITTING" "fBodyAccMag" "mean" "" -0.940589853333333
"105" 15 "SITTING" "fBodyAccMag" "mean" "" -0.949752001322034
"106" 16 "SITTING" "fBodyAccMag" "mean" "" -0.958335480724638
"107" 17 "SITTING" "fBodyAccMag" "mean" "" -0.973626755
"108" 18 "SITTING" "fBodyAccMag" "mean" "" -0.984781467192982
"109" 19 "SITTING" "fBodyAccMag" "mean" "" -0.962632577945206
"110" 20 "SITTING" "fBodyAccMag" "mean" "" -0.946913451666667
"111" 21 "SITTING" "fBodyAccMag" "mean" "" -0.974829227058824
"112" 22 "SITTING" "fBodyAccMag" "mean" "" -0.943078237096774
"113" 23 "SITTING" "fBodyAccMag" "mean" "" -0.945837830147059
"114" 24 "SITTING" "fBodyAccMag" "mean" "" -0.968905031470588
"115" 25 "SITTING" "fBodyAccMag" "mean" "" -0.967017992615385
"116" 26 "SITTING" "fBodyAccMag" "mean" "" -0.952411043717949
"117" 27 "SITTING" "fBodyAccMag" "mean" "" -0.974766466714286
"118" 28 "SITTING" "fBodyAccMag" "mean" "" -0.953928124027778
"119" 29 "SITTING" "fBodyAccMag" "mean" "" -0.973346531833333
"120" 30 "SITTING" "fBodyAccMag" "mean" "" -0.959923388064516
"121" 1 "STANDING" "fBodyAccMag" "mean" "" -0.985356361132075
"122" 2 "STANDING" "fBodyAccMag" "mean" "" -0.964052166481482
"123" 3 "STANDING" "fBodyAccMag" "mean" "" -0.926968932295082
"124" 4 "STANDING" "fBodyAccMag" "mean" "" -0.917614014821429
"125" 5 "STANDING" "fBodyAccMag" "mean" "" -0.9046413925
"126" 6 "STANDING" "fBodyAccMag" "mean" "" -0.945949804035088
"127" 7 "STANDING" "fBodyAccMag" "mean" "" -0.945611450377358
"128" 8 "STANDING" "fBodyAccMag" "mean" "" -0.953746070740741
"129" 9 "STANDING" "fBodyAccMag" "mean" "" -0.946330171777778
"130" 10 "STANDING" "fBodyAccMag" "mean" "" -0.9401101675
"131" 11 "STANDING" "fBodyAccMag" "mean" "" -0.982255413617021
"132" 12 "STANDING" "fBodyAccMag" "mean" "" -0.945217802786885
"133" 13 "STANDING" "fBodyAccMag" "mean" "" -0.972393559473684
"134" 14 "STANDING" "fBodyAccMag" "mean" "" -0.949715059833333
"135" 15 "STANDING" "fBodyAccMag" "mean" "" -0.960337344339623
"136" 16 "STANDING" "fBodyAccMag" "mean" "" -0.971082558076923
"137" 17 "STANDING" "fBodyAccMag" "mean" "" -0.980967748205128
"138" 18 "STANDING" "fBodyAccMag" "mean" "" -0.976797646027397
"139" 19 "STANDING" "fBodyAccMag" "mean" "" -0.968910788767123
"140" 20 "STANDING" "fBodyAccMag" "mean" "" -0.921225595205479
"141" 21 "STANDING" "fBodyAccMag" "mean" "" -0.962291334157303
"142" 22 "STANDING" "fBodyAccMag" "mean" "" -0.949044483015873
"143" 23 "STANDING" "fBodyAccMag" "mean" "" -0.957986177058823
"144" 24 "STANDING" "fBodyAccMag" "mean" "" -0.960066088115942
"145" 25 "STANDING" "fBodyAccMag" "mean" "" -0.972355393243243
"146" 26 "STANDING" "fBodyAccMag" "mean" "" -0.970605250405405
"147" 27 "STANDING" "fBodyAccMag" "mean" "" -0.973186182375
"148" 28 "STANDING" "fBodyAccMag" "mean" "" -0.929146479367089
"149" 29 "STANDING" "fBodyAccMag" "mean" "" -0.984548094769231
"150" 30 "STANDING" "fBodyAccMag" "mean" "" -0.932047450677966
"151" 1 "LAYING" "fBodyAccMag" "mean" "" -0.8617676481
"152" 2 "LAYING" "fBodyAccMag" "mean" "" -0.975110196458333
"153" 3 "LAYING" "fBodyAccMag" "mean" "" -0.96552427516129
"154" 4 "LAYING" "fBodyAccMag" "mean" "" -0.939389701296296
"155" 5 "LAYING" "fBodyAccMag" "mean" "" -0.962234984038462
"156" 6 "LAYING" "fBodyAccMag" "mean" "" -0.91235165222807
"157" 7 "LAYING" "fBodyAccMag" "mean" "" -0.927976880634615
"158" 8 "LAYING" "fBodyAccMag" "mean" "" -0.932279645518518
"159" 9 "LAYING" "fBodyAccMag" "mean" "" -0.9266042952
"160" 10 "LAYING" "fBodyAccMag" "mean" "" -0.950848109137931
"161" 11 "LAYING" "fBodyAccMag" "mean" "" -0.973994004561404
"162" 12 "LAYING" "fBodyAccMag" "mean" "" -0.9438674399
"163" 13 "LAYING" "fBodyAccMag" "mean" "" -0.959535493548387
"164" 14 "LAYING" "fBodyAccMag" "mean" "" -0.899463668843137
"165" 15 "LAYING" "fBodyAccMag" "mean" "" -0.956001034027778
"166" 16 "LAYING" "fBodyAccMag" "mean" "" -0.968020521285714
"167" 17 "LAYING" "fBodyAccMag" "mean" "" -0.961046326338028
"168" 18 "LAYING" "fBodyAccMag" "mean" "" -0.986788412
"169" 19 "LAYING" "fBodyAccMag" "mean" "" -0.971957401325301
"170" 20 "LAYING" "fBodyAccMag" "mean" "" -0.952827071323529
"171" 21 "LAYING" "fBodyAccMag" "mean" "" -0.953769071222222
"172" 22 "LAYING" "fBodyAccMag" "mean" "" -0.929818990972222
"173" 23 "LAYING" "fBodyAccMag" "mean" "" -0.967747053194444
"174" 24 "LAYING" "fBodyAccMag" "mean" "" -0.973171068055556
"175" 25 "LAYING" "fBodyAccMag" "mean" "" -0.774481943616438
"176" 26 "LAYING" "fBodyAccMag" "mean" "" -0.969269114078947
"177" 27 "LAYING" "fBodyAccMag" "mean" "" -0.981389017702703
"178" 28 "LAYING" "fBodyAccMag" "mean" "" -0.961035587625
"179" 29 "LAYING" "fBodyAccMag" "mean" "" -0.986800645362319
"180" 30 "LAYING" "fBodyAccMag" "mean" "" -0.962840820428571
"181" 1 "WALKING" "fBodyBodyAccJerkMag" "mean" "" -0.0571194000343158
"182" 2 "WALKING" "fBodyBodyAccJerkMag" "mean" "" -0.169064352813559
"183" 3 "WALKING" "fBodyBodyAccJerkMag" "mean" "" -0.186764516965517
"184" 4 "WALKING" "fBodyBodyAccJerkMag" "mean" "" -0.318587811
"185" 5 "WALKING" "fBodyBodyAccJerkMag" "mean" "" -0.269481661080357
"186" 6 "WALKING" "fBodyBodyAccJerkMag" "mean" "" -0.055401423331579
"187" 7 "WALKING" "fBodyBodyAccJerkMag" "mean" "" -0.0384187298547368
"188" 8 "WALKING" "fBodyBodyAccJerkMag" "mean" "" -0.123834409766667
"189" 9 "WALKING" "fBodyBodyAccJerkMag" "mean" "" -0.316870715576923
"190" 10 "WALKING" "fBodyBodyAccJerkMag" "mean" "" 0.0205189516981132
"191" 11 "WALKING" "fBodyBodyAccJerkMag" "mean" "" -0.395116134237288
"192" 12 "WALKING" "fBodyBodyAccJerkMag" "mean" "" -0.029912425338
"193" 13 "WALKING" "fBodyBodyAccJerkMag" "mean" "" -0.15211150075614
"194" 14 "WALKING" "fBodyBodyAccJerkMag" "mean" "" -0.431591453389831
"195" 15 "WALKING" "fBodyBodyAccJerkMag" "mean" "" -0.289753952407407
"196" 16 "WALKING" "fBodyBodyAccJerkMag" "mean" "" -0.378278490588235
"197" 17 "WALKING" "fBodyBodyAccJerkMag" "mean" "" -0.335938891803279
"198" 18 "WALKING" "fBodyBodyAccJerkMag" "mean" "" -0.41403775125
"199" 19 "WALKING" "fBodyBodyAccJerkMag" "mean" "" 0.0730179928688462
"200" 20 "WALKING" "fBodyBodyAccJerkMag" "mean" "" 0.0545269493972549
"201" 21 "WALKING" "fBodyBodyAccJerkMag" "mean" "" -0.144009889665385
"202" 22 "WALKING" "fBodyBodyAccJerkMag" "mean" "" 0.0659727285
"203" 23 "WALKING" "fBodyBodyAccJerkMag" "mean" "" -0.0180705701559322
"204" 24 "WALKING" "fBodyBodyAccJerkMag" "mean" "" -0.418641046896552
"205" 25 "WALKING" "fBodyBodyAccJerkMag" "mean" "" -0.564591342162162
"206" 26 "WALKING" "fBodyBodyAccJerkMag" "mean" "" -0.293358341186441
"207" 27 "WALKING" "fBodyBodyAccJerkMag" "mean" "" -0.259934013157895
"208" 28 "WALKING" "fBodyBodyAccJerkMag" "mean" "" -0.360811456296296
"209" 29 "WALKING" "fBodyBodyAccJerkMag" "mean" "" -0.108978206490566
"210" 30 "WALKING" "fBodyBodyAccJerkMag" "mean" "" -0.347180134692308
"211" 1 "WALKING_UPSTAIRS" "fBodyBodyAccJerkMag" "mean" "" -0.44265216245283
"212" 2 "WALKING_UPSTAIRS" "fBodyBodyAccJerkMag" "mean" "" -0.189511136902083
"213" 3 "WALKING_UPSTAIRS" "fBodyBodyAccJerkMag" "mean" "" -0.412920898474576
"214" 4 "WALKING_UPSTAIRS" "fBodyBodyAccJerkMag" "mean" "" -0.397406285
"215" 5 "WALKING_UPSTAIRS" "fBodyBodyAccJerkMag" "mean" "" -0.264674938957447
"216" 6 "WALKING_UPSTAIRS" "fBodyBodyAccJerkMag" "mean" "" -0.169868234496078
"217" 7 "WALKING_UPSTAIRS" "fBodyBodyAccJerkMag" "mean" "" -0.45478324745098
"218" 8 "WALKING_UPSTAIRS" "fBodyBodyAccJerkMag" "mean" "" -0.131850567460976
"219" 9 "WALKING_UPSTAIRS" "fBodyBodyAccJerkMag" "mean" "" -0.419533108571429
"220" 10 "WALKING_UPSTAIRS" "fBodyBodyAccJerkMag" "mean" "" -0.153553147382979
"221" 11 "WALKING_UPSTAIRS" "fBodyBodyAccJerkMag" "mean" "" -0.475928501666667
"222" 12 "WALKING_UPSTAIRS" "fBodyBodyAccJerkMag" "mean" "" -0.3208844625
"223" 13 "WALKING_UPSTAIRS" "fBodyBodyAccJerkMag" "mean" "" -0.425100006545455
"224" 14 "WALKING_UPSTAIRS" "fBodyBodyAccJerkMag" "mean" "" -0.288744334092593
"225" 15 "WALKING_UPSTAIRS" "fBodyBodyAccJerkMag" "mean" "" -0.261956679958333
"226" 16 "WALKING_UPSTAIRS" "fBodyBodyAccJerkMag" "mean" "" -0.475597717843137
"227" 17 "WALKING_UPSTAIRS" "fBodyBodyAccJerkMag" "mean" "" -0.360299853125
"228" 18 "WALKING_UPSTAIRS" "fBodyBodyAccJerkMag" "mean" "" -0.574481396551724
"229" 19 "WALKING_UPSTAIRS" "fBodyBodyAccJerkMag" "mean" "" -0.187391317015
"230" 20 "WALKING_UPSTAIRS" "fBodyBodyAccJerkMag" "mean" "" -0.215014031556863
"231" 21 "WALKING_UPSTAIRS" "fBodyBodyAccJerkMag" "mean" "" -0.355443706553191
"232" 22 "WALKING_UPSTAIRS" "fBodyBodyAccJerkMag" "mean" "" -0.0458020362119048
"233" 23 "WALKING_UPSTAIRS" "fBodyBodyAccJerkMag" "mean" "" -0.302968064764706
"234" 24 "WALKING_UPSTAIRS" "fBodyBodyAccJerkMag" "mean" "" -0.429800778813559
"235" 25 "WALKING_UPSTAIRS" "fBodyBodyAccJerkMag" "mean" "" -0.654795110615385
"236" 26 "WALKING_UPSTAIRS" "fBodyBodyAccJerkMag" "mean" "" -0.294970470909091
"237" 27 "WALKING_UPSTAIRS" "fBodyBodyAccJerkMag" "mean" "" -0.460770277843137
"238" 28 "WALKING_UPSTAIRS" "fBodyBodyAccJerkMag" "mean" "" -0.294433415745098
"239" 29 "WALKING_UPSTAIRS" "fBodyBodyAccJerkMag" "mean" "" -0.239108046693878
"240" 30 "WALKING_UPSTAIRS" "fBodyBodyAccJerkMag" "mean" "" -0.549784890615385
"241" 1 "WALKING_DOWNSTAIRS" "fBodyBodyAccJerkMag" "mean" "" 0.0262184949326531
"242" 2 "WALKING_DOWNSTAIRS" "fBodyBodyAccJerkMag" "mean" "" 0.222247409576596
"243" 3 "WALKING_DOWNSTAIRS" "fBodyBodyAccJerkMag" "mean" "" -0.049477977322449
"244" 4 "WALKING_DOWNSTAIRS" "fBodyBodyAccJerkMag" "mean" "" -0.175295286557778
"245" 5 "WALKING_DOWNSTAIRS" "fBodyBodyAccJerkMag" "mean" "" 0.00918394264170213
"246" 6 "WALKING_DOWNSTAIRS" "fBodyBodyAccJerkMag" "mean" "" 0.243834258785417
"247" 7 "WALKING_DOWNSTAIRS" "fBodyBodyAccJerkMag" "mean" "" 0.067389886106383
"248" 8 "WALKING_DOWNSTAIRS" "fBodyBodyAccJerkMag" "mean" "" 0.331528459921053
"249" 9 "WALKING_DOWNSTAIRS" "fBodyBodyAccJerkMag" "mean" "" 0.00716877883571429
"250" 10 "WALKING_DOWNSTAIRS" "fBodyBodyAccJerkMag" "mean" "" 0.156978047052632
"251" 11 "WALKING_DOWNSTAIRS" "fBodyBodyAccJerkMag" "mean" "" -0.097454996626087
"252" 12 "WALKING_DOWNSTAIRS" "fBodyBodyAccJerkMag" "mean" "" 0.0769968373
"253" 13 "WALKING_DOWNSTAIRS" "fBodyBodyAccJerkMag" "mean" "" -0.0282156656914894
"254" 14 "WALKING_DOWNSTAIRS" "fBodyBodyAccJerkMag" "mean" "" 0.186223478065556
"255" 15 "WALKING_DOWNSTAIRS" "fBodyBodyAccJerkMag" "mean" "" 0.158413334683333
"256" 16 "WALKING_DOWNSTAIRS" "fBodyBodyAccJerkMag" "mean" "" -0.0745659082223404
"257" 17 "WALKING_DOWNSTAIRS" "fBodyBodyAccJerkMag" "mean" "" -0.188680399771739
"258" 18 "WALKING_DOWNSTAIRS" "fBodyBodyAccJerkMag" "mean" "" -0.3833987134
"259" 19 "WALKING_DOWNSTAIRS" "fBodyBodyAccJerkMag" "mean" "" 0.538404846128205
"260" 20 "WALKING_DOWNSTAIRS" "fBodyBodyAccJerkMag" "mean" "" 0.0137917152644444
"261" 21 "WALKING_DOWNSTAIRS" "fBodyBodyAccJerkMag" "mean" "" 0.112442619741778
"262" 22 "WALKING_DOWNSTAIRS" "fBodyBodyAccJerkMag" "mean" "" 0.0224783539805556
"263" 23 "WALKING_DOWNSTAIRS" "fBodyBodyAccJerkMag" "mean" "" 0.335009724333333
"264" 24 "WALKING_DOWNSTAIRS" "fBodyBodyAccJerkMag" "mean" "" -0.200830137109091
"265" 25 "WALKING_DOWNSTAIRS" "fBodyBodyAccJerkMag" "mean" "" -0.471642111551724
"266" 26 "WALKING_DOWNSTAIRS" "fBodyBodyAccJerkMag" "mean" "" -0.15317202912
"267" 27 "WALKING_DOWNSTAIRS" "fBodyBodyAccJerkMag" "mean" "" 0.010857564025
"268" 28 "WALKING_DOWNSTAIRS" "fBodyBodyAccJerkMag" "mean" "" -0.0128823827326087
"269" 29 "WALKING_DOWNSTAIRS" "fBodyBodyAccJerkMag" "mean" "" 0.000448896304791667
"270" 30 "WALKING_DOWNSTAIRS" "fBodyBodyAccJerkMag" "mean" "" -0.125961400367742
"271" 1 "SITTING" "fBodyBodyAccJerkMag" "mean" "" -0.985262126808511
"272" 2 "SITTING" "fBodyBodyAccJerkMag" "mean" "" -0.983874698913043
"273" 3 "SITTING" "fBodyBodyAccJerkMag" "mean" "" -0.965888891730769
"274" 4 "SITTING" "fBodyBodyAccJerkMag" "mean" "" -0.9625007338
"275" 5 "SITTING" "fBodyBodyAccJerkMag" "mean" "" -0.964440302272727
"276" 6 "SITTING" "fBodyBodyAccJerkMag" "mean" "" -0.948348653636364
"277" 7 "SITTING" "fBodyBodyAccJerkMag" "mean" "" -0.970954184166667
"278" 8 "SITTING" "fBodyBodyAccJerkMag" "mean" "" -0.980932292391304
"279" 9 "SITTING" "fBodyBodyAccJerkMag" "mean" "" -0.9530504408
"280" 10 "SITTING" "fBodyBodyAccJerkMag" "mean" "" -0.985900801111111
"281" 11 "SITTING" "fBodyBodyAccJerkMag" "mean" "" -0.975315331509434
"282" 12 "SITTING" "fBodyBodyAccJerkMag" "mean" "" -0.971715268627451
"283" 13 "SITTING" "fBodyBodyAccJerkMag" "mean" "" -0.988348535306122
"284" 14 "SITTING" "fBodyBodyAccJerkMag" "mean" "" -0.972985342962963
"285" 15 "SITTING" "fBodyBodyAccJerkMag" "mean" "" -0.984689437118644
"286" 16 "SITTING" "fBodyBodyAccJerkMag" "mean" "" -0.983968635942029
"287" 17 "SITTING" "fBodyBodyAccJerkMag" "mean" "" -0.99142725046875
"288" 18 "SITTING" "fBodyBodyAccJerkMag" "mean" "" -0.990407075964912
"289" 19 "SITTING" "fBodyBodyAccJerkMag" "mean" "" -0.983751646712329
"290" 20 "SITTING" "fBodyBodyAccJerkMag" "mean" "" -0.971730462575758
"291" 21 "SITTING" "fBodyBodyAccJerkMag" "mean" "" -0.985342358705882
"292" 22 "SITTING" "fBodyBodyAccJerkMag" "mean" "" -0.968908297096774
"293" 23 "SITTING" "fBodyBodyAccJerkMag" "mean" "" -0.974121466764706
"294" 24 "SITTING" "fBodyBodyAccJerkMag" "mean" "" -0.984469962941177
"295" 25 "SITTING" "fBodyBodyAccJerkMag" "mean" "" -0.987941825538462
"296" 26 "SITTING" "fBodyBodyAccJerkMag" "mean" "" -0.989481942820513
"297" 27 "SITTING" "fBodyBodyAccJerkMag" "mean" "" -0.988773269428571
"298" 28 "SITTING" "fBodyBodyAccJerkMag" "mean" "" -0.969178686666667
"299" 29 "SITTING" "fBodyBodyAccJerkMag" "mean" "" -0.990093703833333
"300" 30 "SITTING" "fBodyBodyAccJerkMag" "mean" "" -0.985826330967742
"301" 1 "STANDING" "fBodyBodyAccJerkMag" "mean" "" -0.99254247754717
"302" 2 "STANDING" "fBodyBodyAccJerkMag" "mean" "" -0.977065295555556
"303" 3 "STANDING" "fBodyBodyAccJerkMag" "mean" "" -0.948627467704918
"304" 4 "STANDING" "fBodyBodyAccJerkMag" "mean" "" -0.956139283571429
"305" 5 "STANDING" "fBodyBodyAccJerkMag" "mean" "" -0.941825903035714
"306" 6 "STANDING" "fBodyBodyAccJerkMag" "mean" "" -0.955914005438597
"307" 7 "STANDING" "fBodyBodyAccJerkMag" "mean" "" -0.967417888301887
"308" 8 "STANDING" "fBodyBodyAccJerkMag" "mean" "" -0.979745872037037
"309" 9 "STANDING" "fBodyBodyAccJerkMag" "mean" "" -0.963242884
"310" 10 "STANDING" "fBodyBodyAccJerkMag" "mean" "" -0.951633690454545
"311" 11 "STANDING" "fBodyBodyAccJerkMag" "mean" "" -0.988636595319149
"312" 12 "STANDING" "fBodyBodyAccJerkMag" "mean" "" -0.960859009508197
"313" 13 "STANDING" "fBodyBodyAccJerkMag" "mean" "" -0.981977536491228
"314" 14 "STANDING" "fBodyBodyAccJerkMag" "mean" "" -0.970214125833333
"315" 15 "STANDING" "fBodyBodyAccJerkMag" "mean" "" -0.979078785660377
"316" 16 "STANDING" "fBodyBodyAccJerkMag" "mean" "" -0.986502687948718
"317" 17 "STANDING" "fBodyBodyAccJerkMag" "mean" "" -0.990162798846154
"318" 18 "STANDING" "fBodyBodyAccJerkMag" "mean" "" -0.984987073150685
"319" 19 "STANDING" "fBodyBodyAccJerkMag" "mean" "" -0.979135412739726
"320" 20 "STANDING" "fBodyBodyAccJerkMag" "mean" "" -0.940007897123288
"321" 21 "STANDING" "fBodyBodyAccJerkMag" "mean" "" -0.970634296404494
